436b2938-1721-4270-95fa-c5e97758c7d8_0001	NC_014760.1_0232	86.3	226	12	2	1	216	837	1053	7.6e-98	348.6
436b2938-1721-4270-95fa-c5e97758c7d8_0002	NC_014760.1_0233	89.9	276	27	1	1	275	34	309	1.5e-138	484.2
436b2938-1721-4270-95fa-c5e97758c7d8_0003	NC_014760.1_0234	83.4	397	58	6	1	389	1	397	6.9e-179	618.6
436b2938-1721-4270-95fa-c5e97758c7d8_0004	NC_014760.1_0235	96.8	404	12	1	1	403	1	404	7.7e-208	714.9
436b2938-1721-4270-95fa-c5e97758c7d8_0005	NC_014760.1_0236	91.7	1573	126	5	1	1571	1	1570	0.0e+00	2733.0
436b2938-1721-4270-95fa-c5e97758c7d8_0006	NC_014760.1_0237	85.8	795	102	11	1	786	78	870	0.0e+00	1233.4
436b2938-1721-4270-95fa-c5e97758c7d8_0007	NC_014760.1_0238	100.0	46	0	0	12	57	57	102	4.9e-23	98.2
436b2938-1721-4270-95fa-c5e97758c7d8_0008	NC_014760.1_0239	89.3	187	18	2	1	186	1	186	9.2e-89	318.2
436b2938-1721-4270-95fa-c5e97758c7d8_0009	NC_014760.1_0241	74.1	27	6	1	1	26	53	79	4.0e-06	40.8
9e795a28-2f80-430f-b66f-59ec2f588b39_0001	NC_014760.1_0235	86.7	415	53	2	1	414	1	414	3.9e-188	649.4
9e795a28-2f80-430f-b66f-59ec2f588b39_0002	NC_014760.1_0589	77.4	549	111	12	1	538	1	547	9.5e-214	734.9
9e795a28-2f80-430f-b66f-59ec2f588b39_0003	NC_014760.1_0590	79.8	456	79	11	1	445	30	483	1.3e-194	671.0
9e795a28-2f80-430f-b66f-59ec2f588b39_0004	NC_014760.1_0591	100.0	37	0	0	1	37	1	37	1.3e-15	73.2
9e795a28-2f80-430f-b66f-59ec2f588b39_0005	NC_014760.1_0592	89.3	177	17	2	1	176	87	262	3.1e-82	296.6
9e795a28-2f80-430f-b66f-59ec2f588b39_0006	NC_014760.1_0595	94.3	35	1	1	1	35	394	427	1.8e-13	65.9
9e795a28-2f80-430f-b66f-59ec2f588b39_0007	NC_014760.1_0595	90.0	50	5	0	1	50	245	294	2.8e-22	95.5
9e795a28-2f80-430f-b66f-59ec2f588b39_0008	NC_014760.1_0596	69.9	346	94	9	31	366	2	347	8.1e-113	399.1
9e795a28-2f80-430f-b66f-59ec2f588b39_0009	NC_014760.1_0597	92.3	260	19	1	1	259	1	260	5.3e-135	472.2
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0001	NC_014760.1_0759	82.9	35	6	0	1	35	165	199	1.5e-11	60.1
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0002	NC_014760.1_0760	67.4	494	142	17	4	485	12	498	1.9e-157	547.7
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0003	NC_014760.1_0761	75.5	261	56	6	1	255	40	298	1.1e-100	358.2
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0005	NC_014760.1_0763	66.3	172	50	8	1	165	7	177	1.6e-44	171.0
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0007	NC_014760.1_0765	72.4	304	76	6	1	299	1	301	1.7e-105	374.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0008	NC_014760.1_0767	66.4	134	38	5	1	128	19	151	1.4e-33	134.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0009	NC_014760.1_0768	80.3	599	108	9	2	592	5	601	2.1e-251	860.1
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0010	NC_014760.1_0769	80.5	87	16	1	1	86	1	87	3.8e-32	129.0
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0011	NC_014760.1_0770	70.3	37	11	0	5	41	487	523	2.1e-09	52.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0012	NC_014760.1_0770	97.8	93	2	0	4	96	71	163	1.4e-43	167.2
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0013	NC_014760.1_0771	72.1	129	36	0	1	129	18	146	2.5e-45	173.3
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0014	NC_014760.1_0772	66.7	168	46	6	4	162	21	187	3.4e-48	183.3
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0015	NC_014760.1_0773	78.0	460	94	6	1	457	1	456	2.3e-181	627.1
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0016	NC_014760.1_0037	100.0	33	0	0	1	33	1	33	1.2e-15	72.8
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0017	NC_014760.1_0012	69.1	473	131	10	1	462	1	469	2.1e-158	550.8
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0018	NC_014760.1_0037	62.6	131	41	3	1	123	276	406	9.1e-40	154.8
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0019	NC_014760.1_0776	71.7	325	80	11	4	320	10	330	1.6e-99	354.8
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0020	NC_014760.1_0777	67.6	293	87	7	1	287	1	291	5.3e-83	299.7
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0002	NC_014760.1_0563	77.2	391	85	4	1	388	41	430	1.9e-152	530.8
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0003	NC_014760.1_0564	77.2	460	95	9	163	614	17	474	4.4e-172	596.7
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0004	NC_014760.1_0566	85.3	591	81	5	4	588	74	664	2.4e-276	943.0
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0005	NC_014760.1_0567	100.0	68	0	0	12	79	237	304	1.3e-34	137.1
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0006	NC_014760.1_0569	68.3	457	126	6	1	445	99	548	1.1e-154	538.5
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0007	NC_014760.1_0569	65.0	40	14	0	1	40	1	40	5.9e-09	50.8
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0008	NC_014760.1_0570	73.6	277	63	7	1	270	1	274	5.4e-98	349.4
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0009	NC_014760.1_0571	77.2	325	67	5	1	319	9	332	8.0e-117	412.1
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0010	NC_014760.1_0572	76.2	227	50	4	93	317	1	225	2.3e-84	304.3
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0011	NC_014760.1_0574	54.4	261	105	5	22	270	2	260	4.4e-66	243.4
73b7e7a8-10fe-4d9e-96b2-d0dc3eb319b8_0012	NC_014760.1_0577	67.5	283	80	5	1	277	4	280	2.3e-91	327.4
bfa60fbc-4046-49ed-8b32-1e4d704f1034_0001	NC_014760.1_0697	83.5	273	42	3	1	271	17	288	2.0e-116	410.6
