qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NC_014760.1_0001	UniRef90_UPI00049611EB	77.7	461	99	1	10	466	2	462	8.2e-201	708.8
NC_014760.1_0002	UniRef90_UPI000496F3F8	71.8	369	104	0	1	369	1	369	9.5e-152	545.4
NC_014760.1_0003	UniRef90_C4XFM1	65.7	70	24	0	1	70	1	70	5.3e-17	95.5
NC_014760.1_0004	UniRef90_D3VQZ4	63.1	260	94	1	9	266	5	264	7.5e-90	339.3
NC_014760.1_0005	UniRef90_A0A0L1IIX0	63.7	262	94	1	3	263	4	265	1.5e-95	358.2
NC_014760.1_0006	UniRef90_UPI000494F4BC	72.6	390	107	0	1	390	1	390	1e-159	572
NC_014760.1_0007	UniRef90_D3VPX7	73.5	344	91	0	1	344	1	344	2.8e-153	550.4
NC_014760.1_0008	UniRef90_A0A0C3A3X0	78.8	345	73	0	1	345	1	345	4.7e-161	576.2
NC_014760.1_0009	UniRef90_A0A507SK04	76.3	287	68	0	3	289	5	291	1.6e-125	458
NC_014760.1_0010	UniRef90_N9VC26	67.5	114	37	0	1	114	1	114	2e-36	160.6
NC_014760.1_0011	UniRef90_D3VPY0	73.3	333	89	0	1	333	1	333	3.2e-138	500.4
NC_014760.1_0012	UniRef90_F4MQS7	70.6	470	138	0	1	470	1	470	2.3e-195	690.6
NC_014760.1_0013	UniRef90_D3VPY1	70	267	80	0	1	267	6	272	2e-90	341.3
NC_014760.1_0014	UniRef90_D3VPJ9	69.1	443	133	2	27	468	163	602	2.2e-169	604.4
NC_014760.1_0015	UniRef90_I5D583	55.4	148	66	0	1	148	1	148	1.6e-36	161.4
NC_014760.1_0016	UniRef90_UPI00068DAA14	74.2	531	128	4	1	531	1	522	1.7e-213	751.1
NC_014760.1_0018	UniRef90_A0A3P8MF96	51.4	319	143	5	9	325	10	318	1.8e-77	298.5
NC_014760.1_0019	UniRef90_A0A2D1JLN7	75.7	210	51	0	1	210	1	210	4.9e-87	329.7
NC_014760.1_0020	UniRef90_A5IXF6	76.5	217	51	0	1	217	1	217	7.2e-91	342.4
NC_014760.1_0021	UniRef90_I5D589	56.6	643	259	4	1	623	1	643	5.1e-198	699.9
NC_014760.1_0022	UniRef90_A0A0L1IHQ5	77	300	69	0	1	300	1	300	1.1e-126	461.8
NC_014760.1_0023	UniRef90_D3VPZ5	66.6	299	100	0	1	299	1	299	4.3e-110	406.8
NC_014760.1_0024	UniRef90_UPI00049699BE	72.1	276	77	0	1	276	1	276	6.1e-111	409.5
NC_014760.1_0025	UniRef90_D3VPZ7	78.1	658	141	2	1	658	1	655	1.4e-286	994.2
NC_014760.1_0026	UniRef90_A5IXG7	78.2	280	60	1	62	340	1	280	3.2e-122	447.2
NC_014760.1_0027	UniRef90_D3VPZ9	70	110	33	0	6	115	6	115	3.6e-33	149.8
NC_014760.1_0028	UniRef90_D3VQ00	70.2	473	140	1	1	472	6	478	1.9e-189	671
NC_014760.1_0029	UniRef90_D3VQ01	74.1	116	30	0	28	143	2	117	9.1e-42	178.7
NC_014760.1_0030	UniRef90_UPI0004968604	77.3	436	99	0	1	436	1	436	2.1e-193	684.1
NC_014760.1_0031	UniRef90_A0A654IF38	75.3	324	80	0	139	462	1	324	1.9e-137	498.4
NC_014760.1_0032	UniRef90_UPI00048333BC	75.8	335	81	0	3	337	4	338	1.1e-111	412.1
